,0
0,46448.0625
1,89726.5625
2,93245.09375
3,63142.3203125
4,47040.71875
5,42143.28125
6,32997.5546875
7,35230.484375
8,75959.609375
9,29817.8359375
10,30081.71875
11,39878.5390625
12,41778.328125
13,27285.71484375
14,36207.7890625
15,78858.953125
16,71854.046875
17,29711.4609375
18,42789.07421875
19,53111.3046875
20,33757.6640625
21,46908.921875
22,46007.34375
23,42977.08203125
24,59376.7421875
25,41371.44921875
26,42385.2265625
27,75366.109375
28,25447.625
29,44424.171875
30,26013.25390625
31,89800.28125
32,47260.33203125
33,77607.4375
34,48598.9140625
35,73819.9375
36,28647.056640625
37,62281.9765625
38,65838.6015625
39,38363.84375
40,39034.125
41,70156.3125
42,22318.11328125
43,37759.859375
44,40632.578125
45,54872.25
46,38745.03125
47,59564.5078125
48,60986.3984375
49,41214.75
50,68806.890625
51,76523.34375
52,30958.390625
53,66267.03125
54,74334.4921875
55,94096.8125
56,24565.625
57,36286.5078125
58,30227.0859375
59,78045.109375
60,36537.015625
61,49926.7890625
62,33975.8515625
63,78663.09375
64,35139.90234375
65,58434.109375
66,32698.560546875
67,93122.1875
68,35708.3203125
69,30888.69140625
70,54925.14453125
71,88334.7578125
72,46072.05078125
73,44601.0859375
74,83069.0859375
75,49096.265625
76,84921.296875
77,52083.71484375
78,84466.015625
79,32855.875
80,19586.765625
81,29909.90625
82,30452.234375
83,36489.5390625
84,68781.1171875
85,76477.671875
86,29244.9921875
87,35341.4296875
88,71281.8125
89,44193.30078125
90,46214.70703125
91,63961.25390625
92,31769.8984375
93,31938.310546875
94,41409.9609375
95,39257.1484375
96,50313.453125
97,45799.08984375
98,26985.6328125
99,75786.09375
100,85401.703125
101,37509.8359375
102,85359.515625
103,54320.78515625
104,53355.17578125
105,46217.68359375
106,85142.1875
107,41771.828125
108,30100.7890625
109,71738.3046875
110,90204.4375
111,34450.9453125
112,38153.36328125
113,32993.75
114,60508.640625
115,28057.64453125
116,38366.28125
117,28583.611328125
118,82655.140625
119,46353.59765625
120,32929.2734375
121,80225.2890625
122,74162.5625
123,43620.21484375
124,45789.8359375
125,31356.099609375
126,48154.875
127,88667.234375
128,69004.0625
129,36726.12890625
130,25261.46875
131,75353.484375
132,35947.98828125
133,81363.375
134,45829.140625
135,31394.572265625
136,57384.3046875
137,42467.171875
138,40337.4375
139,76692.859375
140,52458.671875
141,68805.5078125
142,38210.9609375
143,40799.2734375
144,94953.3046875
145,42052.484375
146,81862.9765625
147,43332.4921875
148,94318.625
149,30099.275390625
150,66216.90625
151,42171.8046875
152,67966.921875
153,41089.265625
154,47326.296875
155,42844.578125
156,101128.7109375
157,35432.60546875
158,25621.353515625
159,50082.32421875
160,41068.93359375
161,40444.890625
162,20860.2265625
163,37398.046875
164,36674.67578125
165,31601.94921875
166,64815.34375
167,80731.671875
168,78365.265625
169,39137.08203125
170,41683.3359375
171,71464.140625
172,37359.1796875
173,73454.8046875
174,33817.90625
175,75491.609375
176,39633.13671875
177,36488.3515625
178,51475.88671875
179,39848.3203125
180,43418.9921875
181,75649.5390625
182,87339.96875
183,62641.890625
184,38851.98046875
185,72530.21875
186,67516.2578125
187,45733.640625
188,69629.125
189,41728.6953125
190,78738.0703125
191,83790.5
192,41268.1484375
193,80654.8984375
194,63702.06640625
195,100150.03125
196,116932.875
197,24245.466796875
198,82970.53125
199,91327.96875
200,44124.765625
201,41248.55859375
202,61706.546875
203,60827.1875
204,26409.27734375
205,70982.078125
206,46899.9453125
207,64802.234375
208,78534.5703125
209,45649.3984375
210,37457.265625
211,69777.28125
212,53924.0078125
213,39727.4921875
214,70172.7109375
215,74265.484375
216,52463.890625
217,40979.5546875
218,47867.67578125
219,88857.8046875
220,44517.5078125
221,55107.359375
222,26301.173828125
223,32893.671875
224,46188.0859375
225,89120.28125
226,40960.04296875
227,44623.28125
228,32792.390625
229,71847.453125
230,73787.109375
231,45115.90625
232,42845.56640625
233,50088.953125
234,36006.9453125
235,46913.7890625
236,43033.83984375
237,25780.90234375
238,57514.4921875
239,24098.55859375
240,64742.6171875
241,28891.0
242,47026.53125
243,52026.9921875
244,68870.9453125
245,55515.9375
246,80698.546875
247,34713.70703125
248,38852.93359375
249,47537.453125
250,70875.109375
251,31155.26953125
252,56556.68359375
253,38883.57421875
254,29142.833984375
255,49534.46875
256,30751.02734375
257,49010.8203125
258,27680.8515625
259,68057.0
260,26611.375
261,96619.0703125
262,45950.34765625
263,91652.59375
264,31444.34765625
265,71582.234375
266,20862.7265625
267,60414.2109375
268,24931.63671875
269,81780.9375
270,76298.546875
271,32823.1015625
272,40333.859375
273,85269.859375
274,70751.234375
275,42459.453125
276,70913.5078125
277,63035.58984375
278,60815.5
279,84542.9375
280,36345.703125
281,74164.9609375
282,35611.5859375
283,87543.0625
284,43836.375
285,30913.98046875
286,44358.390625
287,66331.28125
288,89691.2109375
289,77151.09375
290,40159.9765625
291,25396.2578125
292,29616.345703125
293,44522.9375
294,39128.421875
295,83751.640625
296,41216.5390625
297,39450.50390625
298,44065.3515625
299,24615.96875
300,38734.10546875
301,46372.0078125
302,49049.8828125
303,33118.37890625
304,38893.26953125
305,82606.3125
306,36161.015625
307,89090.96875
