Epoch 0: Train Loss 2.303330421447754, Train Acc 0.10913050919771194
P(y|x) 0:0 loss=   2.307398558, acc=   0.093750000
P(y|x) 0:100 loss=   2.040220261, acc=   0.281250000
P(y|x) 0:200 loss=   1.789046526, acc=   0.296875000
P(y|x) 0:300 loss=   1.840538263, acc=   0.187500000
P(y|x) 0:400 loss=   1.744793773, acc=   0.359375000
P(y|x) 0:500 loss=   1.836186051, acc=   0.234375000
P(y|x) 0:600 loss=   1.577586412, acc=   0.390625000
P(y|x) 0:700 loss=   1.400556087, acc=   0.531250000
Epoch 0: Train Loss 1.6066138744354248, Train Acc 0.409472793340683
Epoch 0: Test Loss 1.5855942964553833, Test Acc 0.41620001196861267
Epoch 0: Valid Loss 1.5904849767684937, Valid Acc 0.414000004529953
P(y|x) 1:800 loss=   1.596159220, acc=   0.453125000
P(y|x) 1:900 loss=   1.652563453, acc=   0.468750000
P(y|x) 1:1000 loss=   1.613428831, acc=   0.359375000
P(y|x) 1:1100 loss=   1.430102110, acc=   0.453125000
P(y|x) 1:1200 loss=   1.367267132, acc=   0.531250000
P(y|x) 1:1300 loss=   1.237533808, acc=   0.640625000
P(y|x) 1:1400 loss=   1.219514489, acc=   0.656250000
Epoch 1: Train Loss 1.3097504377365112, Train Acc 0.5353395938873291
Epoch 1: Test Loss 1.2901407480239868, Test Acc 0.5343999862670898
Epoch 1: Valid Loss 1.288928508758545, Valid Acc 0.5404000282287598
P(y|x) 2:1500 loss=   1.295198560, acc=   0.546875000
P(y|x) 2:1600 loss=   1.211287141, acc=   0.609375000
P(y|x) 2:1700 loss=   1.165930271, acc=   0.656250000
P(y|x) 2:1800 loss=   1.241419911, acc=   0.562500000
P(y|x) 2:1900 loss=   1.168715835, acc=   0.656250000
P(y|x) 2:2000 loss=   1.166839957, acc=   0.609375000
P(y|x) 2:2100 loss=   1.072319508, acc=   0.578125000
Epoch 2: Train Loss 0.9809746742248535, Train Acc 0.675520122051239
Epoch 2: Test Loss 0.9608380794525146, Test Acc 0.6801000237464905
Epoch 2: Valid Loss 0.9598115086555481, Valid Acc 0.6743999719619751
P(y|x) 3:2200 loss=   1.118613124, acc=   0.718750000
P(y|x) 3:2300 loss=   0.943714559, acc=   0.656250000
P(y|x) 3:2400 loss=   0.930371881, acc=   0.734375000
P(y|x) 3:2500 loss=   0.855035543, acc=   0.750000000
P(y|x) 3:2600 loss=   0.689818680, acc=   0.796875000
P(y|x) 3:2700 loss=   0.939746082, acc=   0.703125000
P(y|x) 3:2800 loss=   0.733014405, acc=   0.828125000
Epoch 3: Train Loss 0.8523960709571838, Train Acc 0.7271515130996704
Epoch 3: Test Loss 0.8262037038803101, Test Acc 0.7358999848365784
Epoch 3: Valid Loss 0.8241326212882996, Valid Acc 0.7300000190734863
P(y|x) 4:2900 loss=   0.822829485, acc=   0.703125000
P(y|x) 4:3000 loss=   0.871612966, acc=   0.703125000
P(y|x) 4:3100 loss=   0.839981496, acc=   0.656250000
P(y|x) 4:3200 loss=   0.803876221, acc=   0.750000000
P(y|x) 4:3300 loss=   0.743176460, acc=   0.781250000
P(y|x) 4:3400 loss=   0.846985459, acc=   0.734375000
P(y|x) 4:3500 loss=   0.699222326, acc=   0.765625000
Epoch 4: Train Loss 0.7321721911430359, Train Acc 0.7708703875541687
Epoch 4: Test Loss 0.7189932465553284, Test Acc 0.7670000195503235
Epoch 4: Valid Loss 0.7172797918319702, Valid Acc 0.7724000215530396
P(y|x) 5:3600 loss=   0.808314681, acc=   0.765625000
P(y|x) 5:3700 loss=   0.818117321, acc=   0.671875000
P(y|x) 5:3800 loss=   0.571462333, acc=   0.828125000
P(y|x) 5:3900 loss=   0.639313519, acc=   0.796875000
P(y|x) 5:4000 loss=   0.489316344, acc=   0.843750000
P(y|x) 5:4100 loss=   0.578733087, acc=   0.828125000
P(y|x) 5:4200 loss=   0.757702231, acc=   0.750000000
Epoch 5: Train Loss 0.6062979102134705, Train Acc 0.8122110366821289
Epoch 5: Test Loss 0.6089476943016052, Test Acc 0.809499979019165
Epoch 5: Valid Loss 0.6003655791282654, Valid Acc 0.8091999888420105
P(y|x) 6:4300 loss=   0.740382969, acc=   0.703125000
P(y|x) 6:4400 loss=   0.812551677, acc=   0.718750000
P(y|x) 6:4500 loss=   0.572498858, acc=   0.843750000
P(y|x) 6:4600 loss=   0.639178634, acc=   0.812500000
P(y|x) 6:4700 loss=   0.561887085, acc=   0.812500000
P(y|x) 6:4800 loss=   0.608889937, acc=   0.796875000
P(y|x) 6:4900 loss=   0.779145896, acc=   0.734375000
Epoch 6: Train Loss 0.7003672122955322, Train Acc 0.7717594504356384
Epoch 6: Test Loss 0.7061336040496826, Test Acc 0.762499988079071
Epoch 6: Valid Loss 0.7062343955039978, Valid Acc 0.7638000249862671
P(y|x) 7:5000 loss=   0.478920072, acc=   0.812500000
P(y|x) 7:5100 loss=   0.594200611, acc=   0.812500000
P(y|x) 7:5200 loss=   0.645175755, acc=   0.859375000
P(y|x) 7:5300 loss=   0.459681749, acc=   0.859375000
P(y|x) 7:5400 loss=   0.860424936, acc=   0.718750000
P(y|x) 7:5500 loss=   0.610672235, acc=   0.765625000
P(y|x) 7:5600 loss=   0.617779851, acc=   0.781250000
Epoch 7: Train Loss 0.5619130730628967, Train Acc 0.8310810923576355
Epoch 7: Test Loss 0.5574280023574829, Test Acc 0.8288000226020813
Epoch 7: Valid Loss 0.5651711225509644, Valid Acc 0.8271999955177307
P(y|x) 8:5700 loss=   0.421873569, acc=   0.843750000
P(y|x) 8:5800 loss=   0.470490485, acc=   0.859375000
P(y|x) 8:5900 loss=   0.607619464, acc=   0.796875000
P(y|x) 8:6000 loss=   0.357561469, acc=   0.906250000
P(y|x) 8:6100 loss=   0.690946877, acc=   0.781250000
P(y|x) 8:6200 loss=   0.628070891, acc=   0.812500000
P(y|x) 8:6300 loss=   0.529210687, acc=   0.828125000
Epoch 8: Train Loss 0.4679110050201416, Train Acc 0.8570412397384644
Epoch 8: Test Loss 0.49006786942481995, Test Acc 0.8438000082969666
Epoch 8: Valid Loss 0.5014829039573669, Valid Acc 0.8320000171661377
P(y|x) 9:6400 loss=   0.528882623, acc=   0.750000000
