Epoch 0: Train Loss 2.302936553955078, Train Acc 0.10017336159944534
P(y|x) 0:0 loss=   2.294043779, acc=   0.140625000
P(y|x) 0:100 loss=   2.021883965, acc=   0.296875000
P(y|x) 0:200 loss=   1.775690198, acc=   0.375000000
P(y|x) 0:300 loss=   1.966775179, acc=   0.328125000
P(y|x) 0:400 loss=   1.597976923, acc=   0.390625000
P(y|x) 0:500 loss=   1.639116168, acc=   0.437500000
P(y|x) 0:600 loss=   1.697025776, acc=   0.328125000
P(y|x) 0:700 loss=   1.492771626, acc=   0.515625000
Epoch 0: Train Loss 1.5093833208084106, Train Acc 0.4635268449783325
Epoch 0: Test Loss 1.5104166269302368, Test Acc 0.4584999978542328
Epoch 0: Valid Loss 1.5118271112442017, Valid Acc 0.4634000062942505
P(y|x) 1:800 loss=   1.287789822, acc=   0.609375000
P(y|x) 1:900 loss=   1.431844234, acc=   0.531250000
P(y|x) 1:1000 loss=   1.109365106, acc=   0.640625000
P(y|x) 1:1100 loss=   1.422387242, acc=   0.500000000
P(y|x) 1:1200 loss=   1.272576571, acc=   0.546875000
P(y|x) 1:1300 loss=   1.235950589, acc=   0.546875000
P(y|x) 1:1400 loss=   1.353811741, acc=   0.453125000
Epoch 1: Train Loss 1.1678608655929565, Train Acc 0.6003511548042297
Epoch 1: Test Loss 1.1968225240707397, Test Acc 0.5867999792098999
Epoch 1: Valid Loss 1.191816806793213, Valid Acc 0.5925999879837036
P(y|x) 2:1500 loss=   1.080466628, acc=   0.718750000
P(y|x) 2:1600 loss=   0.927676678, acc=   0.703125000
P(y|x) 2:1700 loss=   1.050929666, acc=   0.656250000
P(y|x) 2:1800 loss=   1.006802678, acc=   0.750000000
P(y|x) 2:1900 loss=   0.929364264, acc=   0.671875000
P(y|x) 2:2000 loss=   0.997732282, acc=   0.640625000
P(y|x) 2:2100 loss=   0.903847635, acc=   0.671875000
Epoch 2: Train Loss 0.8675510883331299, Train Acc 0.7281516790390015
Epoch 2: Test Loss 0.9226853251457214, Test Acc 0.7021999955177307
Epoch 2: Valid Loss 0.9175451397895813, Valid Acc 0.7081999778747559
P(y|x) 3:2200 loss=   0.826449513, acc=   0.765625000
P(y|x) 3:2300 loss=   1.087253094, acc=   0.671875000
P(y|x) 3:2400 loss=   0.764002562, acc=   0.765625000
P(y|x) 3:2500 loss=   0.917041481, acc=   0.734375000
P(y|x) 3:2600 loss=   0.655000389, acc=   0.828125000
P(y|x) 3:2700 loss=   0.703786910, acc=   0.703125000
P(y|x) 3:2800 loss=   0.829991102, acc=   0.703125000
Epoch 3: Train Loss 0.7431851029396057, Train Acc 0.7580458521842957
Epoch 3: Test Loss 0.8291240930557251, Test Acc 0.7261000275611877
Epoch 3: Valid Loss 0.8261486291885376, Valid Acc 0.7246000170707703
P(y|x) 4:2900 loss=   0.610663593, acc=   0.843750000
P(y|x) 4:3000 loss=   0.545959055, acc=   0.796875000
P(y|x) 4:3100 loss=   0.463643938, acc=   0.890625000
P(y|x) 4:3200 loss=   0.785203636, acc=   0.734375000
P(y|x) 4:3300 loss=   0.604035079, acc=   0.765625000
P(y|x) 4:3400 loss=   0.750206470, acc=   0.750000000
P(y|x) 4:3500 loss=   0.597622156, acc=   0.859375000
Epoch 4: Train Loss 0.5234848856925964, Train Acc 0.8342372179031372
Epoch 4: Test Loss 0.6515472531318665, Test Acc 0.7867000102996826
Epoch 4: Valid Loss 0.6429051756858826, Valid Acc 0.7793999910354614
P(y|x) 5:3600 loss=   0.819396734, acc=   0.671875000
