Epoch 0: Train Loss 2.303330421447754, Train Acc 0.10913050919771194
P(y|x) 0:0 loss=   2.307398558, acc=   0.093750000
P(y|x) 0:100 loss=   1.848085880, acc=   0.312500000
P(y|x) 0:200 loss=   1.697744250, acc=   0.281250000
P(y|x) 0:300 loss=   1.697231531, acc=   0.281250000
P(y|x) 0:400 loss=   1.592931867, acc=   0.437500000
P(y|x) 0:500 loss=   1.721227050, acc=   0.328125000
P(y|x) 0:600 loss=   1.416662097, acc=   0.421875000
P(y|x) 0:700 loss=   1.021263123, acc=   0.609375000
Epoch 0: Train Loss 1.3815653324127197, Train Acc 0.49433231353759766
Epoch 0: Test Loss 1.337079644203186, Test Acc 0.5067999958992004
Epoch 0: Valid Loss 1.3492002487182617, Valid Acc 0.4957999885082245
P(y|x) 1:800 loss=   1.314508200, acc=   0.531250000
P(y|x) 1:900 loss=   1.245498419, acc=   0.593750000
P(y|x) 1:1000 loss=   1.227840066, acc=   0.531250000
P(y|x) 1:1100 loss=   1.424084902, acc=   0.546875000
P(y|x) 1:1200 loss=   1.125631452, acc=   0.562500000
P(y|x) 1:1300 loss=   0.920407176, acc=   0.609375000
P(y|x) 1:1400 loss=   0.825175643, acc=   0.687500000
Epoch 1: Train Loss 0.9537937641143799, Train Acc 0.6601617932319641
Epoch 1: Test Loss 0.922690749168396, Test Acc 0.6705999970436096
Epoch 1: Valid Loss 0.9311355352401733, Valid Acc 0.6651999950408936
P(y|x) 2:1500 loss=   1.094423652, acc=   0.640625000
P(y|x) 2:1600 loss=   0.916191101, acc=   0.703125000
P(y|x) 2:1700 loss=   0.922007918, acc=   0.703125000
P(y|x) 2:1800 loss=   0.988043427, acc=   0.687500000
P(y|x) 2:1900 loss=   1.004387617, acc=   0.625000000
P(y|x) 2:2000 loss=   0.835516214, acc=   0.656250000
P(y|x) 2:2100 loss=   0.769948483, acc=   0.765625000
Epoch 2: Train Loss 0.7819010615348816, Train Acc 0.7237953543663025
Epoch 2: Test Loss 0.7745507955551147, Test Acc 0.7281000018119812
Epoch 2: Valid Loss 0.7811844944953918, Valid Acc 0.7242000102996826
P(y|x) 3:2200 loss=   0.952005982, acc=   0.718750000
P(y|x) 3:2300 loss=   0.699519277, acc=   0.765625000
P(y|x) 3:2400 loss=   0.696445227, acc=   0.765625000
P(y|x) 3:2500 loss=   0.588709354, acc=   0.765625000
P(y|x) 3:2600 loss=   0.492973387, acc=   0.828125000
P(y|x) 3:2700 loss=   0.670281172, acc=   0.796875000
P(y|x) 3:2800 loss=   0.597264767, acc=   0.750000000
Epoch 3: Train Loss 0.7008389830589294, Train Acc 0.7534672617912292
Epoch 3: Test Loss 0.7111817598342896, Test Acc 0.7534999847412109
Epoch 3: Valid Loss 0.7164312601089478, Valid Acc 0.7468000054359436
P(y|x) 4:2900 loss=   0.630317986, acc=   0.734375000
P(y|x) 4:3000 loss=   0.655233800, acc=   0.750000000
P(y|x) 4:3100 loss=   0.704895496, acc=   0.750000000
P(y|x) 4:3200 loss=   0.678456306, acc=   0.750000000
P(y|x) 4:3300 loss=   0.566288590, acc=   0.796875000
P(y|x) 4:3400 loss=   0.701369166, acc=   0.796875000
P(y|x) 4:3500 loss=   0.657718420, acc=   0.828125000
Epoch 4: Train Loss 0.5512306690216064, Train Acc 0.8090771436691284
Epoch 4: Test Loss 0.5602570176124573, Test Acc 0.8111000061035156
Epoch 4: Valid Loss 0.5578268766403198, Valid Acc 0.8068000078201294
P(y|x) 5:3600 loss=   0.612473190, acc=   0.828125000
P(y|x) 5:3700 loss=   0.712960422, acc=   0.734375000
P(y|x) 5:3800 loss=   0.402037233, acc=   0.890625000
P(y|x) 5:3900 loss=   0.461928695, acc=   0.828125000
P(y|x) 5:4000 loss=   0.430430710, acc=   0.843750000
P(y|x) 5:4100 loss=   0.394805104, acc=   0.875000000
P(y|x) 5:4200 loss=   0.802225471, acc=   0.734375000
Epoch 5: Train Loss 0.4908749759197235, Train Acc 0.8304587602615356
Epoch 5: Test Loss 0.547451376914978, Test Acc 0.8148999810218811
Epoch 5: Valid Loss 0.525452733039856, Valid Acc 0.823199987411499
P(y|x) 6:4300 loss=   0.668678343, acc=   0.781250000
P(y|x) 6:4400 loss=   0.646381795, acc=   0.781250000
P(y|x) 6:4500 loss=   0.354135811, acc=   0.859375000
P(y|x) 6:4600 loss=   0.377127290, acc=   0.875000000
P(y|x) 6:4700 loss=   0.540122211, acc=   0.781250000
P(y|x) 6:4800 loss=   0.475201964, acc=   0.796875000
P(y|x) 6:4900 loss=   0.424553871, acc=   0.843750000
Epoch 6: Train Loss 0.4825587868690491, Train Acc 0.8334592580795288
Epoch 6: Test Loss 0.5208757519721985, Test Acc 0.8209999799728394
Epoch 6: Valid Loss 0.531295895576477, Valid Acc 0.8141999840736389
P(y|x) 7:5000 loss=   0.411045671, acc=   0.875000000
P(y|x) 7:5100 loss=   0.549432933, acc=   0.796875000
P(y|x) 7:5200 loss=   0.538953125, acc=   0.828125000
P(y|x) 7:5300 loss=   0.408284843, acc=   0.875000000
P(y|x) 7:5400 loss=   0.668660998, acc=   0.796875000
P(y|x) 7:5500 loss=   0.544426203, acc=   0.812500000
P(y|x) 7:5600 loss=   0.502522051, acc=   0.781250000
Epoch 7: Train Loss 0.43083709478378296, Train Acc 0.8505067825317383
Epoch 7: Test Loss 0.486576110124588, Test Acc 0.8371000289916992
Epoch 7: Valid Loss 0.5005303621292114, Valid Acc 0.8295999765396118
P(y|x) 8:5700 loss=   0.373092711, acc=   0.859375000
P(y|x) 8:5800 loss=   0.393989444, acc=   0.859375000
P(y|x) 8:5900 loss=   0.440165579, acc=   0.828125000
P(y|x) 8:6000 loss=   0.378104329, acc=   0.890625000
P(y|x) 8:6100 loss=   0.663302958, acc=   0.812500000
P(y|x) 8:6200 loss=   0.771808445, acc=   0.796875000
P(y|x) 8:6300 loss=   0.336244375, acc=   0.875000000
Epoch 8: Train Loss 0.35793405771255493, Train Acc 0.877089262008667
Epoch 8: Test Loss 0.4216155409812927, Test Acc 0.8601999878883362
Epoch 8: Valid Loss 0.42880967259407043, Valid Acc 0.857200026512146
P(y|x) 9:6400 loss=   0.443396002, acc=   0.828125000
P(y|x) 9:6500 loss=   0.290363193, acc=   0.890625000
P(y|x) 9:6600 loss=   0.533317924, acc=   0.843750000
P(y|x) 9:6700 loss=   0.239360288, acc=   0.906250000
P(y|x) 9:6800 loss=   0.378650635, acc=   0.875000000
P(y|x) 9:6900 loss=   0.344381690, acc=   0.890625000
P(y|x) 9:7000 loss=   0.452179790, acc=   0.843750000
Epoch 9: Train Loss 0.3663414418697357, Train Acc 0.8743109703063965
Epoch 9: Test Loss 0.42572373151779175, Test Acc 0.8547000288963318
Epoch 9: Valid Loss 0.4332556128501892, Valid Acc 0.8543999791145325
P(y|x) 10:7100 loss=   0.255848348, acc=   0.875000000
P(y|x) 10:7200 loss=   0.545737147, acc=   0.812500000
P(y|x) 10:7300 loss=   0.314156294, acc=   0.921875000
P(y|x) 10:7400 loss=   0.304217130, acc=   0.890625000
P(y|x) 10:7500 loss=   0.416550159, acc=   0.843750000
P(y|x) 10:7600 loss=   0.465752393, acc=   0.796875000
