Epoch 0: Train Loss 2.302936553955078, Train Acc 0.10017336159944534
P(y|x) 0:0 loss=   2.294044018, acc=   0.140625000
P(y|x) 0:100 loss=   1.977599025, acc=   0.218750000
P(y|x) 0:200 loss=   1.558612704, acc=   0.390625000
P(y|x) 0:300 loss=   1.870202303, acc=   0.375000000
P(y|x) 0:400 loss=   1.330510974, acc=   0.468750000
P(y|x) 0:500 loss=   1.502630711, acc=   0.453125000
P(y|x) 0:600 loss=   1.616184711, acc=   0.406250000
P(y|x) 0:700 loss=   1.184587359, acc=   0.593750000
Epoch 0: Train Loss 1.2303715944290161, Train Acc 0.5432077050209045
Epoch 0: Test Loss 1.2511136531829834, Test Acc 0.5386000275611877
Epoch 0: Valid Loss 1.2544584274291992, Valid Acc 0.5264000296592712
P(y|x) 1:800 loss=   1.225704312, acc=   0.546875000
P(y|x) 1:900 loss=   1.179561496, acc=   0.609375000
P(y|x) 1:1000 loss=   0.977229178, acc=   0.625000000
P(y|x) 1:1100 loss=   1.175723910, acc=   0.593750000
P(y|x) 1:1200 loss=   1.169342518, acc=   0.609375000
P(y|x) 1:1300 loss=   0.874160290, acc=   0.734375000
P(y|x) 1:1400 loss=   0.997126520, acc=   0.656250000
Epoch 1: Train Loss 0.8215464949607849, Train Acc 0.7113708853721619
Epoch 1: Test Loss 0.8781381845474243, Test Acc 0.6949999928474426
Epoch 1: Valid Loss 0.8809009790420532, Valid Acc 0.6862000226974487
P(y|x) 2:1500 loss=   0.747401237, acc=   0.718750000
P(y|x) 2:1600 loss=   0.723435938, acc=   0.718750000
P(y|x) 2:1700 loss=   1.008481979, acc=   0.687500000
P(y|x) 2:1800 loss=   0.581553042, acc=   0.843750000
P(y|x) 2:1900 loss=   0.724491656, acc=   0.765625000
P(y|x) 2:2000 loss=   0.650451660, acc=   0.703125000
P(y|x) 2:2100 loss=   0.642462194, acc=   0.796875000
Epoch 2: Train Loss 0.6224399209022522, Train Acc 0.7822279334068298
Epoch 2: Test Loss 0.7267863750457764, Test Acc 0.7508999705314636
Epoch 2: Valid Loss 0.7375501394271851, Valid Acc 0.7480000257492065
P(y|x) 3:2200 loss=   0.478025913, acc=   0.781250000
P(y|x) 3:2300 loss=   0.856405616, acc=   0.671875000
P(y|x) 3:2400 loss=   0.536654890, acc=   0.828125000
P(y|x) 3:2500 loss=   0.611968577, acc=   0.843750000
P(y|x) 3:2600 loss=   0.362405598, acc=   0.890625000
P(y|x) 3:2700 loss=   0.618615687, acc=   0.828125000
P(y|x) 3:2800 loss=   0.710983455, acc=   0.750000000
Epoch 3: Train Loss 0.510717511177063, Train Acc 0.81785649061203
Epoch 3: Test Loss 0.6562686562538147, Test Acc 0.7713000178337097
Epoch 3: Valid Loss 0.6805716753005981, Valid Acc 0.753600001335144
P(y|x) 4:2900 loss=   0.637588561, acc=   0.796875000
P(y|x) 4:3000 loss=   0.310743570, acc=   0.875000000
P(y|x) 4:3100 loss=   0.346409053, acc=   0.906250000
P(y|x) 4:3200 loss=   0.628265500, acc=   0.781250000
P(y|x) 4:3300 loss=   0.538643003, acc=   0.781250000
P(y|x) 4:3400 loss=   0.473421037, acc=   0.828125000
P(y|x) 4:3500 loss=   0.407779187, acc=   0.859375000
Epoch 4: Train Loss 0.3598952889442444, Train Acc 0.8723551034927368
Epoch 4: Test Loss 0.5687552690505981, Test Acc 0.8108999729156494
Epoch 4: Valid Loss 0.5741675496101379, Valid Acc 0.8032000064849854
P(y|x) 5:3600 loss=   0.527746975, acc=   0.796875000
P(y|x) 5:3700 loss=   0.463673413, acc=   0.812500000
P(y|x) 5:3800 loss=   0.424770802, acc=   0.859375000
P(y|x) 5:3900 loss=   0.317699105, acc=   0.875000000
