,0
0,9356.0888671875
1,11672.2412109375
2,10069.7998046875
3,8486.095703125
4,5117.4443359375
5,8007.8017578125
6,12626.40234375
7,12874.98828125
8,11049.6259765625
9,8195.78125
10,9301.1943359375
11,7813.07421875
12,8702.8515625
13,14418.357421875
14,14107.0263671875
15,8842.90234375
16,8384.0400390625
17,8036.1787109375
18,8042.13427734375
19,7072.30078125
20,11137.337890625
21,16501.59375
22,13840.431640625
23,10874.791015625
24,8294.73046875
25,11019.626953125
26,10123.6953125
27,9505.59375
28,8749.2822265625
29,7587.73681640625
30,12002.77734375
31,12772.7001953125
32,11216.5126953125
33,11427.927734375
34,5833.30908203125
35,8505.16015625
36,11215.55078125
37,20649.498046875
38,13519.9931640625
39,10032.7958984375
40,7048.888671875
41,19450.71484375
42,9943.2548828125
43,13710.599609375
44,9736.4365234375
45,9298.4921875
46,13350.2724609375
47,10802.7841796875
48,8442.064453125
49,7581.9423828125
50,9434.77734375
51,12134.208984375
52,13140.701171875
53,16990.08203125
54,11323.611328125
55,12347.3310546875
56,11053.376953125
57,11730.326171875
58,12643.9423828125
59,11339.7822265625
60,12478.25
61,7857.32275390625
62,15020.6650390625
63,9016.060546875
64,6995.54296875
65,8796.158203125
66,12684.5185546875
67,7885.9248046875
68,10017.95703125
69,5429.91259765625
70,14572.486328125
71,7728.20703125
72,9931.4541015625
73,8524.3349609375
74,10012.1484375
75,14346.5673828125
76,8504.890625
77,9206.431640625
78,8869.9248046875
79,10759.8505859375
80,10595.5205078125
81,7764.11279296875
82,12329.296875
83,17933.50390625
84,9094.25390625
85,7640.48046875
86,13465.515625
87,10152.111328125
88,10132.283203125
89,8185.2080078125
90,7772.82763671875
91,7187.3671875
92,11676.7890625
93,8990.21484375
94,9187.888671875
95,13290.732421875
96,8007.1884765625
97,18488.42578125
98,11977.3505859375
99,8015.8935546875
100,12038.63671875
101,10749.072265625
102,10915.1845703125
103,11963.8359375
104,11153.41015625
105,7205.9716796875
106,11393.283203125
107,11794.8984375
108,11110.4072265625
109,11003.75390625
110,7370.359375
111,7037.802734375
112,9457.4521484375
113,10289.1728515625
114,9778.4609375
115,9629.2265625
116,14307.400390625
117,10378.138671875
118,10842.5390625
119,10575.810546875
120,9647.072265625
121,10190.29296875
122,18158.109375
123,6047.009765625
124,8105.318359375
125,12035.900390625
126,7128.298828125
127,10729.9892578125
128,15126.890625
129,15964.7451171875
130,13146.4609375
131,15831.5625
132,14948.4619140625
133,10920.8984375
134,6420.54296875
135,8064.09716796875
136,7914.0224609375
137,12034.5712890625
138,12874.73828125
139,7302.9345703125
140,9210.55859375
141,11558.623046875
142,9669.146484375
143,10758.3193359375
144,14012.1640625
145,11293.8154296875
146,11006.283203125
147,9211.8583984375
148,8113.216796875
149,9415.8369140625
150,9054.546875
151,4126.65234375
152,9220.07421875
153,13984.2392578125
154,10236.5966796875
155,11161.326171875
